sku,description,category,stock_qty,unit_price,supplier,supplier_lead_days,reorder_threshold
HF-1409-C,90 Deg Elbow - Industrial Grade,hydraulic fittings,0,22.47,SMC,7,28
PV-9935-A,Solenoid Valve - Industrial Grade,pneumatic valves,0,149.47,Swagelok,10,5
EC-4582-B,M12 Connector - Industrial Grade,electrical connectors,0,46.35,Bimba,4,22
SG-9928-D,Rod Seal - Industrial Grade,seals and gaskets,0,20.77,SMC,7,13
PG-3615-D,Dry Gauge - Industrial Grade,pressure gauges,0,74.13,Hydac,9,11
HF-2674-A,Tee Adapter - Industrial Grade,hydraulic fittings,0,12.29,Norgren,7,16
PV-5333-A,Directional Valve - Industrial Grade,pneumatic valves,0,183.19,WIKA,11,17
EC-5803-C,M12 Connector - Industrial Grade,electrical connectors,0,16.84,Swagelok,10,7
SG-4733-C,O-Ring Kit - Industrial Grade,seals and gaskets,0,38.63,Eaton,6,8
PG-5554-D,Vacuum Gauge - Industrial Grade,pressure gauges,0,50.86,Hydac,9,16
HF-5374-A,Straight Coupling - Industrial Grade,hydraulic fittings,0,55.62,Swagelok,10,22
PV-3677-D,Flow Control Valve - Industrial Grade,pneumatic valves,0,104.63,Norgren,7,25
EC-4598-C,Quick Disconnect - Industrial Grade,electrical connectors,0,19.49,Parker Hannifin,5,6
SG-7572-C,Piston Seal - Industrial Grade,seals and gaskets,0,10.28,Eaton,6,23
PG-4483-D,Digital Gauge - Industrial Grade,pressure gauges,0,196.71,Norgren,7,25
HF-3340-C,Bulkhead Fitting - Industrial Grade,hydraulic fittings,0,24.35,Festo,8,22
PV-5304-D,Directional Valve - Industrial Grade,pneumatic valves,0,142.82,Swagelok,10,12
EC-9348-D,Deutsch Connector - Industrial Grade,electrical connectors,0,57.42,Eaton,6,8
SG-3621-D,Rod Seal - Industrial Grade,seals and gaskets,0,3.8,Swagelok,10,17
PG-8668-C,Test Gauge - Industrial Grade,pressure gauges,0,191.88,Bimba,4,5
HF-9797-C,90 Deg Elbow - Industrial Grade,hydraulic fittings,0,13.48,Hydac,9,18
PV-8433-A,Flow Control Valve - Industrial Grade,pneumatic valves,0,311.71,Bosch Rexroth,12,29
